year,party,pct_won,state_dist
2018,R,62.26,OH-5
2018,R,69.25,OH-6
2018,R,58.74,OH-7
2018,R,66.58,OH-8
2018,D,67.79,OH-9
2018,R,55.92,OH-10
2018,D,82.24,OH-11
2018,R,51.42,OH-12
2018,D,60.99,OH-13
2018,R,55.25,OH-14
2018,R,58.33,OH-15
2018,R,56.73,OH-16
2014,R,100.0,OK-1
2014,R,70.03,OK-2
2014,R,78.62,OK-3
2014,R,70.8,OK-4
2014,R,60.1,OK-5
2016,R,100.0,OK-1
2016,R,70.61,OK-2
2016,R,78.29,OK-3
2016,R,69.63,OK-4
2016,R,57.09,OK-5
2018,R,59.3,OK-1
2018,R,65.02,OK-2
2018,R,73.87,OK-3
2018,R,63.06,OK-4
2018,D,50.7,OK-5
2014,D,57.31,OR-1
2014,R,70.41,OR-2
2014,D,72.33,OR-3
2014,D,58.55,OR-4
2014,D,53.7,OR-5
2016,D,59.61,OR-1
2016,R,71.69,OR-2
2016,D,71.84,OR-3
2016,D,55.49,OR-4
2016,D,53.47,OR-5
2018,D,63.65,OR-1
2018,R,56.3,OR-2
2018,D,72.6,OR-3
2018,D,55.97,OR-4
2018,D,55.01,OR-5
2014,D,82.84,PA-1
2014,D,87.7,PA-2
2014,R,60.63,PA-3
2014,R,74.54,PA-4
2014,R,63.6,PA-5
2014,R,56.29,PA-6
2014,R,62.04,PA-7
2014,R,61.9,PA-8
2014,R,63.52,PA-9
2014,R,62.58,PA-10
2014,R,66.31,PA-11
2014,R,59.28,PA-12
2014,D,67.12,PA-13
2014,D,100.0,PA-14
2014,R,100.0,PA-15
2014,R,57.72,PA-16
2014,D,56.76,PA-17
2014,R,100.0,PA-18
2016,D,82.2,PA-1
