,state,district,year,total_pop,under_5,X5_to_9,X10_to_14,X15_to_19,X20_to_24,X25_to_34,X35_to_44,X45_to_54,X55_to_59,X60_to_64,X65_to_74,X75_to_84,X85_over,median_age,white_pct,black_pct,amer_ind,asian_pct,pac_isl_pct,hispanic_pct
1007,IL,5,2014,717666,6.8,5.2,4.7,4.3,7.2,21.8,14.7,12.8,6,4.7,6.2,3.9,1.7,35,81.6,2.7,0.2,6.5,0,19
1008,IL,6,2014,734700,5.3,6.6,7.2,7,5.3,11.4,12.5,16.6,7.7,6.3,8.3,3.9,1.7,41.2,83.5,2.8,0.1,9.5,0,9.5
1009,IL,7,2014,727478,6.5,5.9,5.8,5.9,8.9,19.6,13.2,11.9,5.9,5,6.9,3.3,1.2,33.6,33.4,49.7,0.2,7.4,0,14.8
1010,IL,8,2014,725320,6.7,6.3,6.9,6.2,6.4,15,14.6,13.8,6.5,5.6,7.2,3.6,1.3,36.7,68,4.1,0.5,13.3,0.1,28.6
1011,IL,9,2014,710295,5.5,5.7,6,5.7,5.8,14.5,13.9,14.1,6.5,6.2,8.2,5,2.7,39.7,72.5,9.2,0.1,13.3,0,10.8
1012,IL,10,2014,711698,6.3,6.6,7.9,7.4,6.3,11.9,13.3,14.4,7.1,5.7,7.3,3.6,2.3,38.1,77.2,6.5,0.2,10,0.1,23.2
1013,IL,11,2014,712657,6.9,8,7.3,7.3,7.2,13.5,15,13.7,6.2,5.3,5.7,2.8,1.2,34.9,63.6,12,0.3,6.9,0,26.6
1014,IL,12,2014,701698,6,6.5,6,6.5,7,13.2,12.1,14,7.4,5.9,8.5,5,2,39.3,78.9,16.8,0.1,1.1,0,3.4
1015,IL,13,2014,715374,5.6,5.8,5.8,7.9,11,13,11.6,12,6.7,5.8,8.2,4.8,2.1,35.9,81.3,11.7,0.2,3.5,0.1,3.4
1016,IL,14,2014,725522,5.5,7.2,8,7.7,5.7,10.1,14,16.2,7.4,5.6,7.8,3.3,1.4,39.5,87.5,3,0.1,4.7,0,11.9
1017,IL,15,2014,705504,5.8,6,6.8,6.6,6.5,11.9,11.6,13.5,7.5,6.4,9.2,5.6,2.5,40.5,93.2,4.3,0.2,0.6,0.1,2.4
1018,IL,16,2014,699582,5.6,6,6.6,7.1,7,11.6,11.7,14.3,7.2,6.3,9.2,5,2.4,40.3,90.5,4,0.2,1.5,0.1,8.4
1019,IL,17,2014,701014,6.1,6.6,6.1,7,6.7,11.9,12.1,12.8,6.8,6.7,9.6,5.4,2.3,39.7,81.7,11.1,0.2,1.1,0,9.2
