,State,District,Representative ,Obama 12,Romney 12,Land area (square miles),StateAB
1133,TX,22,Pete Olson,36.7,62.1,"1,032.84",TX
1134,WA,2,Rick Larsen,59.2,38.0,"1,015.02",WA
1135,PA,16,Joseph Pitts,46.3,52.4,997.68,PA
1136,VA,2,Scott Rigell,50.1,48.6,991.68,VA
1137,NJ,5,Scott Garrett,47.9,51.0,991.3,NJ
1138,NJ,7,Leonard Lance,46.3,52.5,970.19,NJ
1139,VA,3,Bobby Scott,79.0,20.0,947.1,VA
1140,CA,26,Julia Brownley,54.0,43.7,939.12,CA
1141,CA,42,Ken Calvert,41.4,56.5,935.96,CA
1142,CA,19,Zoe Lofgren,71.2,26.5,915.34,CA
1143,TX,26,Michael Burgess,30.7,67.6,907.15,TX
1144,NJ,3,Jon Runyan,51.8,47.2,899.7,NJ
1145,OH,13,Tim Ryan,62.9,35.4,894.3,OH
1146,FL,12,Gus Bilirakis,44.8,54.0,883.75,FL
1147,FL,16,Vern Buchanan,44.9,54.2,875.33,FL
1148,PA,7,Patrick Meehan,48.5,50.4,862.56,PA
1149,PA,6,Jim Gerlach,48.1,50.6,860.47,PA
1150,MD,8,Chris Van Hollen,62.0,36.1,859.85,MD
1151,NC,9,Robert Pittenger,42.8,56.2,856.93,NC
1152,WA,10,Denny Heck,56.3,41.1,826.67,WA
1153,FL,15,Dennis Ross,45.6,53.3,818.51,FL
1154,RI,2,Jim Langevin,59.8,38.3,765.32,RI
1155,MA,3,Niki Tsongas,56.9,41.4,757.86,MA
1156,KS,3,Kevin Yoder,44.3,53.8,757.2,KS
1157,FL,19,Trey Radel,38.8,60.6,750.37,FL
1158,GA,13,David Scott,69.2,30.0,714.95,GA
1159,TX,16,Beto O'Rourke,64.2,34.5,710.35,TX
1160,PA,8,Mike Fitzpatrick,49.3,49.4,706.93,PA
1161,CA,27,Judy Chu,62.6,35.0,699.9,CA
1162,CA,18,Anna Eshoo,68.2,28.9,696.12,CA
1163,NJ,4,Chris Smith,44.7,54.2,691.88,NJ
1164,OH,1,Steve Chabot,46.3,52.4,686.96,OH
1165,CT,1,John Larson,63.3,35.6,675.45,CT
1166,MA,4,Joe Kennedy,57.1,41.3,668.27,MA
1167,NY,1,Timothy Bishop,49.6,49.1,650.02,NY
1168,AZ,6,David Schweikert,38.8,59.5,625.07,AZ
1169,CA,15,Eric Swalwell,68.0,29.8,599.45,CA
1170,TX,35,Lloyd Doggett,63.0,34.6,593.77,TX
1171,CA,49,Darrell Issa,45.7,52.4,553.08,CA
1172,NC,12,Mel Watt,78.5,20.8,549.66,NC
1173,CA,7,Ami Bera,50.8,46.8,548.65,CA
1174,AZ,8,Trent Franks,36.9,61.7,539.66,AZ
1175,MN,3,Erik Paulsen,49.6,48.8,527.05,MN
1176,MA,6,John Tierney,54.7,43.9,526.79,MA
1177,FL,7,John Mica,47.1,51.8,513.58,FL
1178,NY,25,Louise Slaughter,58.8,39.4,510.19,NY
1179,NE,2,Lee Terry,45.7,52.9,509.74,NE
1180,NJ,11,R. Frelinghuysen,46.6,52.4,504.97,NJ
1181,GA,4,Hank Johnson,73.6,25.6,496.6,GA
1182,CA,11,George Miller,67.6,30.0,493.61,CA
1183,MD,7,Elijah Cummings,76.0,22.5,488.03,MD
1184,TN,9,Steve Cohen,78.3,20.9,483.39,TN
1185,TX,3,Sam Johnson,34.2,64.3,480.88,TX
1186,CO,6,Mike Coffman,51.6,46.5,474.66,CO
1187,CT,3,Rosa DeLauro,62.6,36.3,470.34,CT
1188,MO,2,Ann Wagner,41.4,57.1,465.76,MO
1189,OH,9,Marcy Kaptur,67.6,30.9,464.65,OH
1190,CT,4,Jim Himes,55.1,44.0,460.73,CT
1191,MI,11,Kerry Bentivolio,46.9,52.3,419.26,MI
1192,NJ,12,Rush Holt,66.5,32.4,412.23,NJ
1193,MI,12,John Dingell,66.2,32.8,403.21,MI
1194,GA,7,Rob Woodall,38.3,60.2,392.61,GA
1195,NY,17,Nita Lowey,57.1,41.9,382.63,NY
1196,IL,6,Peter Roskam,45.1,53.3,378.78,IL
1197,TX,30,Eddie Johnson,79.6,19.6,356.27,TX
1198,NJ,1,Robert Andrews,65.1,33.8,350.02,NJ
1199,MD,2,Dutch Ruppersberger,62.9,35.1,348.88,MD
1200,CO,7,Ed Perlmutter,56.1,41.3,342.11,CO
1201,MN,4,Betty Mccollum,62.5,35.5,332.49,MN
1202,CA,45,John Campbell,43.0,54.8,330.39,CA
1203,MA,8,Stephen Lynch,57.8,40.8,326.37,MA
1204,KY,3,John Yarmuth,55.7,42.8,319.34,KY
1205,CA,41,Mark Takano,61.5,36.3,316.54,CA
1206,TX,2,Ted Poe,35.6,62.9,308.75,TX
1207,MD,3,John Sarbanes,60.6,37.2,304.14,MD
1208,IN,7,Andre Carson,62.9,35.4,303.84,IN
